prox_angle,distal_angle
-0.7938214976120008,-0.43193400184063463
-0.7949479803675991,-0.4357153681166681
-0.7958185513185129,-0.43791251911690654
-0.798889846581395,-0.4434372694651883
-0.8010621229297534,-0.4464142540184279
-0.8026482047731374,-0.44807859645412645
-0.8046185608060592,-0.4521517896723865
-0.8097414573960331,-0.4647728110916506
-0.8106667365223188,-0.46576427991945296
-0.8118173609878044,-0.46663625775529605
-0.8137604493292284,-0.46839971424736737
-0.8150781977955955,-0.4689853184250908
-0.8195374123688415,-0.47058555328663837
-0.8231660509072609,-0.4700498861647952
-0.8242949245500242,-0.4708151071359282
-0.8250744205208997,-0.4701854036778933
-0.826379392477951,-0.46955311486725354
-0.8279094851100898,-0.46960756855164065
-0.8289153438735878,-0.4698400127720164
-0.8300474981364783,-0.47050918264701497
-0.8314637719903741,-0.4697646726185334
-0.8327312934425054,-0.470564478009551
-0.8336557260617098,-0.4711072712006464
-0.8344046209057524,-0.4715454402985161
-0.8358520868761182,-0.4721778069540816
-0.8371399796695926,-0.4725839956223778
-0.8390551802181813,-0.4736466460297856
-0.8398826992533124,-0.473567331572528
-0.8410158906217682,-0.4741467458265672
-0.8433149099278215,-0.4752688756059326
-0.8446782564161782,-0.47450460185916776
-0.8450543572736149,-0.4746058452089828
-0.8462577947705756,-0.4740383675979797
-0.8472015604990604,-0.47427252806861536
-0.8483263437491423,-0.4733660293413154
-0.8500490516278294,-0.4735281216071751
-0.8507854573504047,-0.4750591663214096
-0.8519241413600877,-0.47422263013144067
-0.8526207822332413,-0.47530982365797697
-0.8542863878159079,-0.4766534750523214
-0.8551680276881691,-0.4769735051794939
-0.8564323716122996,-0.4798050446979444
-0.8589940513536911,-0.48098929936481205
-0.861089254445655,-0.4838620273455232
-0.8623544611478754,-0.482601912734575
-0.864279662734507,-0.48262773474630527
-0.8652027731080616,-0.48462080093394194
-0.8660199232065096,-0.4864050397394282
-0.8672851775043215,-0.48664781829558856
-0.8684210299928632,-0.4878670976078854
-0.8716760275168578,-0.4894708311427978
-0.8717909536148188,-0.4896940138464828
-0.8742878469620583,-0.4933756035899552
-0.8750602715929517,-0.49487335195835164
-0.8779142435409328,-0.5038945227802516
-0.8795366393415583,-0.5070870386996471
-0.8800266493242986,-0.5077405442263531
-0.881814083000096,-0.5102243887894615
-0.8840009990777562,-0.5120349076908625
-0.8848724268299049,-0.5125787690503938
-0.8866113401885012,-0.5160045734955923
-0.8877463527501227,-0.5171986377414821
-0.8886396928115011,-0.5185798381447878
-0.889557722854624,-0.5197890539245867
-0.8911477057577549,-0.5221911894769727
-0.893689268335343,-0.5246177902914425
-0.8947199576470756,-0.5267146047324344
-0.9006082891739472,-0.5337407389732958
-0.9009446751045185,-0.532896730786335
-0.9014728225277417,-0.5332785086687718
-0.9018519363759032,-0.5331276178572384
-0.9023885013917871,-0.5333708289741479
-0.9034905846570088,-0.5335458143367395
-0.9045553174058741,-0.5341358518113883
-0.9057149708234717,-0.5346175831422247
-0.9062230221285437,-0.5347809374883934
-0.9072542858394536,-0.5353488734803562
-0.9092083553369876,-0.5369675022017503
-0.91803443757567,-0.5407982047422354
-0.9187153986100013,-0.5411050495627708
-0.922915354752949,-0.5432363042313673
-0.9238884347833852,-0.5430599839829758
-0.9266251059297566,-0.5443888201860076
-0.9284870923314844,-0.5448281126383548
-0.929665506783174,-0.544431467922653
-0.9313057482264513,-0.5451519561189806
-0.9325443667126243,-0.5453031364503415
-0.9331506891840164,-0.5457013421212157
-0.9345129814828818,-0.5484359254483241
-0.9350131076400006,-0.5490202536356358
-0.938388957360785,-0.5513700268863935
-0.9408921862952015,-0.5530618934716224
-0.9441491812199646,-0.5544729287995989
-0.9460676126159645,-0.5544845701204418
-0.9475155286868562,-0.5549742518842817
-0.9494947452186827,-0.5563616417406715
-0.9514549222722501,-0.5574801512130985
-0.9531525897248493,-0.5576214411712147
-0.9535731898469786,-0.5573372867065938
-0.9552501595214811,-0.5579995983767404
-0.9565805505957076,-0.5583676633164235
-0.9579069386972415,-0.5588525758230133
